symbol,timestamp,mid_price,ofi_level_0,ofi_level_1,ofi_level_2,ofi_level_3,ofi_level_4,integrated_ofi
AAPL,2024-12-09 12:58:00+00:00,241.9,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 12:59:00+00:00,241.9,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:00:00+00:00,241.9,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:01:00+00:00,242.1,4000.0,2000.0,0.0,0.0,0.0,-4395.2598893390095
AAPL,2024-12-09 13:02:00+00:00,242.1,0.0,-2000.0,0.0,0.0,0.0,588.18583023827
AAPL,2024-12-09 13:03:00+00:00,242.0,0.0,2000.0,0.0,0.0,0.0,-570.3622564590394
AAPL,2024-12-09 13:04:00+00:00,241.9,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:05:00+00:00,242.0,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:06:00+00:00,241.8,-4000.0,-2000.0,0.0,0.0,0.0,4413.083463118241
AAPL,2024-12-09 13:07:00+00:00,242.0,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:08:00+00:00,242.1,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:09:00+00:00,242.2,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:10:00+00:00,242.3,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:11:00+00:00,242.3,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:12:00+00:00,242.3,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:13:00+00:00,242.2,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:15:00+00:00,242.3,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:18:00+00:00,242.0,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:19:00+00:00,242.3,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:20:00+00:00,242.3,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:22:00+00:00,242.0,-2000.0,2000.0,0.0,0.0,0.0,1342.0865599809465
AAPL,2024-12-09 13:24:00+00:00,241.8,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 13:26:00+00:00,241.9,2000.0,2000.0,0.0,0.0,0.0,-2482.811072899025
AAPL,2024-12-09 13:27:00+00:00,241.9,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:28:00+00:00,241.7,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 13:29:00+00:00,241.8,0.0,2000.0,0.0,0.0,0.0,-570.3622564590394
AAPL,2024-12-09 13:30:00+00:00,241.8,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:31:00+00:00,241.8,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:32:00+00:00,242.0,0.0,2000.0,0.0,0.0,0.0,-570.3622564590394
AAPL,2024-12-09 13:33:00+00:00,241.8,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:34:00+00:00,121.6,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:35:00+00:00,241.6,0.0,-2000.0,0.0,0.0,0.0,588.18583023827
AAPL,2024-12-09 13:36:00+00:00,241.5,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:37:00+00:00,241.9,2000.0,-2000.0,0.0,0.0,0.0,-1324.2629862017152
AAPL,2024-12-09 13:38:00+00:00,241.8,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:39:00+00:00,241.6,-2000.0,2000.0,0.0,0.0,0.0,1342.0865599809465
AAPL,2024-12-09 13:40:00+00:00,241.6,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:41:00+00:00,241.9,4000.0,2000.0,0.0,0.0,0.0,-4395.2598893390095
AAPL,2024-12-09 13:42:00+00:00,241.9,0.0,-2000.0,0.0,0.0,0.0,588.18583023827
AAPL,2024-12-09 13:43:00+00:00,241.9,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:44:00+00:00,241.8,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:45:00+00:00,241.8,0.0,2000.0,0.0,0.0,0.0,-570.3622564590394
AAPL,2024-12-09 13:46:00+00:00,241.8,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:47:00+00:00,241.7,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 13:48:00+00:00,241.9,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:49:00+00:00,241.8,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 13:50:00+00:00,242.0,4000.0,2000.0,0.0,0.0,0.0,-4395.2598893390095
AAPL,2024-12-09 13:51:00+00:00,242.0,0.0,-2000.0,0.0,0.0,0.0,588.18583023827
AAPL,2024-12-09 13:52:00+00:00,241.9,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 13:53:00+00:00,242.1,2000.0,2000.0,0.0,0.0,0.0,-2482.811072899025
AAPL,2024-12-09 13:54:00+00:00,241.8,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:55:00+00:00,242.1,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 13:57:00+00:00,241.9,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 13:58:00+00:00,241.9,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 13:59:00+00:00,242.0,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 14:00:00+00:00,242.1,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 14:01:00+00:00,242.1,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 14:02:00+00:00,242.1,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 14:03:00+00:00,242.1,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 14:04:00+00:00,242.1,0.0,2000.0,0.0,0.0,0.0,-570.3622564590394
AAPL,2024-12-09 14:05:00+00:00,241.9,-4000.0,-2000.0,0.0,0.0,0.0,4413.083463118241
AAPL,2024-12-09 14:06:00+00:00,242.1,4000.0,2000.0,0.0,0.0,0.0,-4395.2598893390095
AAPL,2024-12-09 14:07:00+00:00,242.0,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 14:08:00+00:00,242.0,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 14:09:00+00:00,241.9,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 14:10:00+00:00,242.1,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 14:11:00+00:00,241.9,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 14:12:00+00:00,241.9,0.0,2000.0,0.0,0.0,0.0,-570.3622564590394
AAPL,2024-12-09 14:13:00+00:00,242.0,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 14:14:00+00:00,241.9,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 14:15:00+00:00,241.9,0.0,2000.0,0.0,0.0,0.0,-570.3622564590394
AAPL,2024-12-09 14:16:00+00:00,241.7,-4000.0,-2000.0,0.0,0.0,0.0,4413.083463118241
AAPL,2024-12-09 14:17:00+00:00,241.6,-2000.0,0.0,0.0,0.0,0.0,1921.3606033296014
AAPL,2024-12-09 14:18:00+00:00,241.9,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 14:19:00+00:00,241.7,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 14:20:00+00:00,242.6,0.0,0.0,4000.0,2000.0,0.0,-57.9046482812596
AAPL,2024-12-09 14:21:00+00:00,242.6,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 14:22:00+00:00,242.5,-2000.0,-2000.0,-2000.0,0.0,0.0,2496.1779148200962
AAPL,2024-12-09 14:23:00+00:00,242.5,0.0,0.0,-2000.0,0.0,0.0,4.4550550314568795
AAPL,2024-12-09 14:24:00+00:00,242.3,2000.0,2000.0,-2000.0,0.0,0.0,-2487.2678047571835
AAPL,2024-12-09 14:25:00+00:00,121.8,-2000.0,-2000.0,0.0,0.0,0.0,2500.6346466782547
AAPL,2024-12-09 14:26:00+00:00,241.8,2000.0,0.0,0.0,0.0,0.0,-1903.5370295503699
AAPL,2024-12-09 14:27:00+00:00,242.66000000000005,2000.0,2000.0,0.0,0.0,0.0,-2482.811072899025
AAPL,2024-12-09 14:28:00+00:00,241.9,-4000.0,0.0,0.0,-2000.0,2000.0,3874.5217922524726
AAPL,2024-12-09 14:29:00+00:00,241.945,200.0,2000.0,1800.0,0.0,0.0,-757.5960794306953
AAPL,2024-12-09 14:30:00+00:00,242.28,202.0,0.0,0.0,0.0,0.0,-184.24554357082314
AAPL,2024-12-09 14:31:00+00:00,243.9,700.0,0.0,0.0,0.0,0.0,-660.4452988643795
AAPL,2024-12-09 14:32:00+00:00,244.005,100.0,0.0,0.0,0.0,0.0,-86.71065393238393
AAPL,2024-12-09 14:33:00+00:00,242.975,-400.0,0.0,0.0,0.0,0.0,391.4015501776124
AAPL,2024-12-09 14:34:00+00:00,243.175,203.0,0.0,0.0,0.0,0.0,-185.20176797904313
AAPL,2024-12-09 14:35:00+00:00,239.935,-706.0,0.0,0.0,0.0,0.0,684.0062190929301
AAPL,2024-12-09 14:36:00+00:00,242.8,4000.0,-4000.0,-4000.0,-4000.0,0.0,-2514.8914252349796
AAPL,2024-12-09 14:37:00+00:00,242.815,-73.0,0.0,0.0,0.0,0.0,78.71616868967479
AAPL,2024-12-09 14:38:00+00:00,243.955,720.0,0.0,0.0,0.0,0.0,-679.5697870287794
AAPL,2024-12-09 14:39:00+00:00,243.34,-281.0,0.0,0.0,0.0,0.0,277.6108455994332
AAPL,2024-12-09 14:40:00+00:00,242.925,0.0,0.0,0.0,0.0,0.0,8.911786889615344
AAPL,2024-12-09 14:41:00+00:00,242.88,-405.0,0.0,0.0,0.0,0.0,396.1826722187123
AAPL,2024-12-09 14:42:00+00:00,242.98,262.0,0.0,0.0,0.0,0.0,-241.61900806402267
AAPL,2024-12-09 14:43:00+00:00,242.985,211.0,0.0,0.0,0.0,0.0,-192.8515632448031
AAPL,2024-12-09 14:44:00+00:00,243.25,659.0,0.0,0.0,0.0,0.0,-621.2400981273598
AAPL,2024-12-09 14:45:00+00:00,243.745,300.0,0.0,0.0,0.0,0.0,-277.9555355763825
AAPL,2024-12-09 14:46:00+00:00,243.57,-505.0,0.0,0.0,0.0,0.0,491.8051130407117
AAPL,2024-12-09 14:47:00+00:00,243.925,202.0,0.0,0.0,0.0,0.0,-184.24554357082314
AAPL,2024-12-09 14:48:00+00:00,243.82,-559.0,0.0,0.0,0.0,0.0,543.4412310845912
AAPL,2024-12-09 14:49:00+00:00,244.455,848.0,0.0,0.0,0.0,0.0,-801.9665112809384
AAPL,2024-12-09 14:50:00+00:00,244.51,220.0,0.0,0.0,0.0,0.0,-201.457582918783
AAPL,2024-12-09 14:51:00+00:00,243.895,-306.0,0.0,0.0,0.0,0.0,301.516455804933
AAPL,2024-12-09 14:52:00+00:00,244.515,808.0,0.0,0.0,0.0,0.0,-763.7175349521386
AAPL,2024-12-09 14:53:00+00:00,243.845,-2002.0,-800.0,-4000.0,-4400.0,-2400.0,2354.696015006173
AAPL,2024-12-09 14:54:00+00:00,244.48,778.0,0.0,0.0,0.0,0.0,-735.0308027055388
AAPL,2024-12-09 14:55:00+00:00,243.83,-600.0,0.0,0.0,0.0,0.0,582.646431821611
AAPL,2024-12-09 14:56:00+00:00,243.73,-385.0,0.0,0.0,0.0,0.0,377.0581840543125
AAPL,2024-12-09 14:57:00+00:00,243.765,532.0,0.0,0.0,0.0,0.0,-499.7995982834207
AAPL,2024-12-09 14:58:00+00:00,243.58,-325.0,0.0,0.0,0.0,0.0,319.6847195611129
AAPL,2024-12-09 14:59:00+00:00,244.375,726.0,0.0,0.0,0.0,0.0,-685.3071334780993
AAPL,2024-12-09 15:00:00+00:00,243.79,-690.0,0.0,0.0,0.0,0.0,668.7066285614104
AAPL,2024-12-09 15:01:00+00:00,243.91000000000005,204.0,0.0,0.0,0.0,0.0,-186.15799238726314
AAPL,2024-12-09 15:02:00+00:00,243.905,202.0,0.0,0.0,0.0,0.0,-184.24554357082314
AAPL,2024-12-09 15:03:00+00:00,244.04,806.0,0.0,0.0,0.0,0.0,-761.8050861356987
AAPL,2024-12-09 15:04:00+00:00,244.305,413.0,0.0,0.0,0.0,0.0,-386.0088937052416
AAPL,2024-12-09 15:05:00+00:00,244.275,-862.0,0.0,0.0,0.0,0.0,833.1772267752491
AAPL,2024-12-09 15:06:00+00:00,244.23,-746.0,0.0,0.0,0.0,0.0,722.25519542173
AAPL,2024-12-09 15:07:00+00:00,244.405,200.0,0.0,0.0,0.0,0.0,-182.33309475438315
AAPL,2024-12-09 15:08:00+00:00,244.53500000000005,300.0,0.0,0.0,0.0,0.0,-277.9555355763825
AAPL,2024-12-09 15:09:00+00:00,244.27,-333.0,0.0,0.0,0.0,0.0,327.33451482687275
AAPL,2024-12-09 15:10:00+00:00,240.705,-278.0,0.0,0.0,0.0,0.0,274.7421723747732
AAPL,2024-12-09 15:11:00+00:00,244.315,2002.0,-650.0,1900.0,-1400.0,-15.0,-1659.6779583441798
AAPL,2024-12-09 15:12:00+00:00,244.35,-30.0,50.0,100.0,2000.0,15.0,-52.653025689817454
