stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.0034496883836637737,0.00016849850876894765,-1.706238681304616e-06,5.4587009867181615e-08,-4.169199399028156e-07,1.0804056116670956e-07,4.138053788403805e-07,7.8635312553842e-07,3.3864847025725226e-07,2.8732764146481196e-07,-5.130719292206723e-07,-3.0128919144298584e-07
AMGN,0.14641099801587687,-0.001703742750072819,1.7393156006754957e-05,4.4364971576703284e-05,-4.366526429578379e-08,4.0998123262317645e-06,4.990912628584864e-08,-1.5958974757534888e-06,-1.8169468121573517e-06,5.953363336192569e-08,4.557536240442552e-06,-2.4269410457484363e-06
GILD,0.04322178724177195,-3.678315344524704e-05,7.366033500924604e-09,-2.151011636437404e-06,-3.0102060064738704e-06,7.578130294018892e-07,-2.602552891521993e-07,-2.2099221504481488e-07,-1.4770816508927317e-07,1.2131629898380722e-07,-4.598880486825363e-07,-1.7508428480237678e-06
JPM,0.037448766503535125,4.727525525514952e-05,2.1512615437568955e-06,4.113400906598237e-06,-7.773573896881603e-06,9.499631291954174e-06,-1.7057188517077476e-06,-5.146181396457135e-07,5.89527870198943e-06,6.484354150211985e-07,-9.611436316654192e-06,9.410315379269808e-06
MSFT,0.005873636588452746,-0.0002906506830082935,-4.7311018028221495e-06,-6.139667097775401e-06,3.0017595576464178e-06,9.58552127268264e-07,-3.106849398335713e-06,3.192950569966214e-06,4.6702923319309343e-07,7.880975603981459e-07,-1.6726228785233754e-06,9.649370517788541e-07
NVDA,0.07130369473132059,-7.694613319768546e-05,1.2460586182692158e-05,-8.747460865577213e-06,-3.214412075178314e-06,2.1205960299203017e-06,-3.6888918024765666e-07,1.5211203581875032e-05,4.241896717668895e-06,-1.0853941504506867e-06,1.3450900845755552e-06,-3.6629595570369633e-06
PEP,0.01473786366365315,-0.0015702339270897855,-5.499652351450408e-07,-1.194888385785548e-06,-2.013195034267884e-06,-1.9214945519773125e-06,-6.741691505789833e-08,4.4278393162718805e-07,-6.367794182568466e-06,-8.279361068989832e-07,-4.266535817804284e-06,2.692990200669742e-06
TSLA,0.011857719346884177,0.0012639440869130103,3.928912112531054e-07,8.714179031766825e-07,-3.4881588060207245e-07,1.1534057712743967e-07,-3.492786602950691e-07,1.7050835664259609e-06,-2.3034318850132164e-06,2.405726671577592e-06,-1.2463154516017643e-06,-1.0102480170724735e-07
V,0.24841705967383076,0.00015417479393173712,-2.1982451879219425e-06,-1.9240584564894923e-06,2.8141339305814563e-06,1.3677373442285795e-06,-8.048430219075645e-07,8.046592594011102e-07,-4.94857538808268e-06,-1.2437515485499707e-07,4.2315544558375454e-05,-2.7530630685392705e-06
XOM,0.0859406169465311,3.6906556360069995e-05,4.1721307220943954e-08,-4.125289539615653e-07,7.121479118987061e-07,-3.2210593620687365e-07,-1.8331683722519686e-07,1.1880686056696571e-07,-3.8980936769127095e-07,-4.1107813531499605e-08,-4.710166453362157e-07,-1.8477222790388823e-06
