stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.022767871824060704,-0.0009912851882032646,-7.1099479915816664e-06,-1.811582404088048e-06,-2.4630970077040072e-06,6.794727268923453e-07,-3.7096941710729668e-06,3.6934639568047495e-06,4.356121384920703e-07,-3.1803506516755095e-06,8.64043961757986e-07,-1.4814716480938206e-07
AMGN,0.07475927619768241,-0.0013385268653627897,2.0808683529701157e-05,-9.72489908485725e-07,-9.908604904943785e-06,1.4474250752062512e-06,-1.1798230860142126e-07,-6.164829271660654e-07,7.600208916051512e-07,-5.209201266965162e-07,-1.4266452553776932e-07,-1.6973326928882685e-06
GILD,0.04945151076840948,-3.762548501432912e-05,6.46952987282857e-08,-7.701995913669413e-08,-8.65684463667405e-07,4.6343445807965134e-08,-2.5300442576595772e-08,1.3935491660337196e-07,-9.787731845000896e-08,1.0389859319211544e-07,-2.9055469078199795e-07,4.668968943506954e-09
JPM,0.026524716080933985,-6.818087475649101e-05,6.423458998492833e-06,2.7718805891806246e-06,-6.637763914848176e-06,-4.7138375882304565e-06,9.302465956851844e-08,-3.8006995384860814e-08,6.896444007178445e-07,3.6020895272187137e-07,-3.179481614229269e-06,-4.072076839132229e-06
MSFT,0.04696658757056915,0.00018474488375792115,2.286523263740328e-05,3.2653163128090094e-07,7.005132962152335e-07,1.0084318434679454e-06,1.795547022695964e-06,-8.135703829995295e-06,-3.86339083256502e-07,-1.5822638723154013e-06,-1.8204218482201782e-06,-5.236585718676775e-06
NVDA,0.05657270169657702,0.00034334189583134535,2.063483414547731e-06,2.3252758164674224e-06,-8.139234565513812e-06,-1.0673370870049487e-06,-5.642919535912107e-06,-1.9135094397262453e-05,-9.209084628812166e-07,3.014589770687843e-06,5.472862448899694e-07,-5.758248703315437e-06
PEP,0.09460473268371761,-9.428814295473228e-05,3.1276664775418677e-06,1.1578621929831568e-07,-2.514436251685656e-07,1.1176743752805026e-06,7.623251315876912e-08,7.779183504265807e-09,-1.1174505443001157e-06,5.211135941895209e-07,-1.3019993881444819e-06,1.9824199351751602e-07
TSLA,0.008397830840695342,-0.0006403138119664456,1.0445295580291917e-05,-1.069894653267906e-06,-7.706424694073109e-07,4.597782033352066e-07,9.573813347243548e-07,-5.538968044609326e-07,8.710200456131472e-07,-2.351394783672385e-06,2.812052146970453e-07,-1.6831658128228585e-06
V,0.07492448405298069,-0.0015893482945073022,2.175584667605307e-05,-4.43333318884992e-07,8.839391964189919e-06,-4.6808452211153157e-07,7.470420300448644e-08,7.33840712816926e-08,8.065683602584485e-07,-3.6928877782619684e-07,-2.807590927602244e-06,-1.7684314228040862e-06
XOM,0.11253345728017872,-0.00012435811341528224,8.707266764291668e-07,-4.6292539736033825e-07,-7.839806432927526e-07,3.016100827228662e-07,-2.213677895442246e-07,2.955443419185264e-07,7.186058062116272e-07,4.337543476514531e-08,4.0772233386703096e-07,-9.998958397533994e-06
