stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.00732865588534537,0.0017201967142561967,-4.834683459936604e-06,-4.317045676901366e-06,-6.369895262045211e-06,-8.648499512226763e-07,2.911818509716089e-07,7.495549987918962e-07,-7.702991213113779e-06,3.3812418036696516e-06,8.124303490946184e-07,3.4409770515380815e-06
AMGN,0.022626655088417214,-0.001545015021427133,4.620628743003741e-06,6.7876737216855886e-06,-1.4206219576478283e-06,-7.876792752800956e-07,-1.3352390772403572e-06,1.4254098564894759e-06,1.08252564875371e-06,-1.3437542654446844e-06,-2.985435906963422e-07,-5.361415371063992e-06
GILD,0.051794233381893706,-0.0014143757189139367,9.897402335034128e-07,4.747114208971815e-06,1.701585789020125e-05,-8.82090426468214e-06,6.890968008198711e-07,-6.601332880706121e-07,-8.872930274665397e-08,-7.13461663176934e-07,-4.354085384638308e-06,7.003445528332599e-06
JPM,0.04885150904554236,-0.0008621677144386888,2.3879712443153022e-06,1.073350192473141e-06,2.9209199344657986e-06,-3.046194159387679e-05,-1.9019079881637092e-06,-2.9831947281905934e-07,-1.5489895902147936e-05,-2.859687786546024e-06,3.1970246113309596e-06,-7.88613931829963e-06
MSFT,0.005732300327160766,0.0006296662410996852,3.840501478243367e-06,-6.570600005090036e-06,-5.566912958716101e-06,1.3015088645019643e-06,3.401120414302829e-08,2.477463844599968e-06,2.453513532757094e-06,2.548030131863903e-06,1.5834695387039373e-06,2.9975830223684262e-06
NVDA,0.017202949642785126,-0.001473890939701396,-5.584132285610086e-06,-6.852338684541666e-07,1.8930485486220784e-06,-9.953142991329788e-07,1.6433518719946655e-06,-1.0774744517710895e-05,-6.83258749012798e-06,4.999981633638071e-07,-3.8727652701573106e-07,6.986612702633543e-07
PEP,0.01402832032318313,0.0007130951773765139,-7.293002025997283e-07,-5.340414396096063e-06,5.51507693814632e-06,-3.6790121146366977e-06,-3.1515881361309388e-06,-6.217151052329733e-06,-8.0267928592804e-06,2.6172433765176438e-09,5.529598242408417e-07,-1.140575927248165e-06
TSLA,0.01996441221216083,0.0008390281647459425,6.609616239938204e-06,2.229586405781396e-06,2.2001594237779045e-06,-1.4658167842426846e-06,-1.8473494617033264e-07,1.327321521094163e-07,2.2319338233262768e-07,-6.937635244550564e-06,-1.992702995242019e-07,1.2478472522935342e-06
V,0.05619973804716105,-6.021173613912436e-05,2.89087501884028e-07,-1.3386650196508568e-06,-1.1699994301869225e-06,1.2647343238453205e-07,6.509505633270542e-08,4.3900215889235804e-07,-2.3227578395611027e-06,1.3390042706890646e-07,-3.7138026786482454e-06,-5.583285238006379e-07
XOM,0.035145618692107194,4.780361853103517e-05,3.878132054361331e-07,2.955883531736651e-06,-2.138876712890641e-06,-3.2652774227969067e-06,-5.190979276982978e-07,-7.327696841734005e-07,-2.2932866749494853e-06,2.2637778209450425e-07,6.97838018995664e-07,-8.398843766180672e-06
