stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.0072615130633764124,-0.0006559666094395953,8.549866820576137e-06,2.7388625097145574e-06,-6.074892404603145e-06,5.283622102693477e-06,6.679882345930053e-07,7.211220430251249e-07,1.011995220205382e-07,6.868027142943281e-07,1.584756119458772e-05,1.3717009622193477e-06
AMGN,0.006461222875607464,0.001679853536887844,-8.236857061107825e-07,1.8590391387251447e-06,3.3991971703534967e-07,9.992248815096883e-06,2.6227008797957055e-07,2.011840594424411e-07,-9.94048384495949e-07,3.6869864814490206e-07,-1.5754892322498337e-06,8.871942140124399e-07
GILD,0.13737218888406855,-1.4931536497534427e-05,-1.0103964085097405e-07,4.65821664777082e-07,-6.37991741127004e-06,2.067609695490551e-06,2.530124776808762e-07,-3.3959550327478934e-07,-3.0380196359408574e-08,-3.285364509081413e-08,-5.883191831082591e-07,-1.9602313624270776e-07
JPM,0.21357614261491575,-0.0032806700247016173,7.516386576479706e-07,1.7270228719340514e-06,5.030875428373871e-06,3.955903766527305e-05,-4.89207915335911e-07,-1.985566344885553e-05,8.801294101046703e-08,5.418984661904909e-07,-3.091604017838976e-06,-1.0539051674324698e-06
MSFT,0.02099836330801208,0.0008180949519581735,-8.699269924313077e-09,-1.0917394889278375e-06,-2.783794401254475e-06,-2.8613975790332118e-06,-3.733587652895628e-06,7.964913902839179e-06,1.0653041781514185e-06,-1.604359182238719e-06,7.384104553000835e-06,1.2108569660811566e-06
NVDA,0.06706342723259973,-0.001789580741882783,1.6726562387637287e-06,-7.526530268604297e-07,-3.837180275515577e-06,-1.3440399339508772e-05,2.3681224974053137e-06,9.573421084642349e-06,-5.414886603280988e-07,5.609909589552576e-06,-1.1849705374991991e-06,-3.681537704262627e-07
PEP,0.019351362528735372,2.8365798857452177e-05,3.968510094740483e-08,-1.9088310429313e-07,5.019764176808875e-08,-8.536628037913554e-07,3.0033639633068077e-07,5.87567979571492e-07,1.7056131338803997e-07,-1.1443045176608894e-08,-1.1436273942404486e-07,2.3908800602471533e-07
TSLA,0.001474708299076033,-0.0009184794151050211,1.76826138663941e-06,1.8823343147664343e-06,1.3535630376464298e-07,3.1578011244612136e-06,-4.320769010550435e-07,2.5651897823442465e-08,1.0892122116189901e-07,-1.0035729453706087e-06,4.199288015290086e-06,2.1412534687762646e-07
V,0.1821220676112918,0.00039959583391566307,1.8000615524262266e-06,-4.315637354767325e-06,4.324973036996516e-06,-1.2935005663164538e-06,9.300812400300095e-07,2.5542720158928257e-05,7.228912657192711e-07,1.0116996226059078e-06,2.6161666054067605e-05,1.0724214486740804e-06
XOM,0.058582733860602976,0.00032036295551528536,6.278879659486442e-06,-3.696912249811461e-06,2.6800617300816608e-05,-7.846152615388635e-05,-4.733907703524551e-06,2.0454664076232537e-07,-1.297911965597153e-07,7.888334855336411e-07,4.121619159233541e-05,7.267912647243582e-06
