stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.004098598077146742,-0.0023156681282773582,-4.45928228632415e-06,4.96664078134883e-06,9.854829468262513e-07,-4.847545704219496e-06,-7.014174974699837e-07,-2.117345499168617e-06,1.6864606392494664e-07,-8.532011469662675e-08,-1.496400504033256e-06,-1.217867303400258e-07
AMGN,0.033524564371010146,0.0010676905299978146,1.9525672778322744e-05,-2.8096494842031287e-05,-1.1891339293737996e-06,-1.640968973316984e-05,-1.6133045578461262e-05,-2.219689909751212e-06,1.0815405701598464e-05,3.212330162763854e-06,2.6355688387573547e-06,-8.995302043422279e-08
GILD,0.15777014768273956,-4.557550586438194e-06,-4.1510612956985216e-07,-1.2459164803510497e-06,8.65008321702357e-06,-8.29145116924225e-07,-1.6845334304711044e-07,1.7357548123824428e-07,4.705624956256251e-06,8.101654859977095e-08,-3.813647137214236e-07,-1.9791299600038756e-07
JPM,0.04587507155503634,6.143824791660653e-05,-1.8214404469396912e-06,5.478521023850376e-06,-5.729586348823996e-07,7.200723200058475e-06,1.2847452695916996e-07,2.353833720632735e-07,-2.6757631941979213e-07,3.393311840196782e-08,-1.6985170273098243e-06,-3.66264184183391e-08
MSFT,0.02237179940393541,-0.001856543325510268,-6.912501706575579e-06,3.2782384604586306e-06,-2.997460591418884e-06,-1.5045799732645411e-06,4.6105311365080017e-07,-5.159903515545672e-06,1.958070881567639e-06,-3.6765069513584777e-06,-1.9106045966484403e-06,-1.3841281963156734e-07
NVDA,0.026156116663238804,-3.347079280131035e-05,-1.0911757125759648e-05,-1.2894279715738047e-05,-2.0148323206069043e-06,5.897938321930713e-07,1.6821760729483972e-06,1.2862693389620636e-05,2.320595445078928e-06,-1.1740033337749782e-06,8.815961276138594e-07,3.7912525939332477e-07
PEP,0.11462290571534861,0.0004573105874514143,-1.5762987108652e-05,-3.781685862907362e-06,-2.652917970862628e-06,1.666969644130232e-05,-3.567305295405826e-06,5.068410844544298e-06,7.858569707281166e-05,-1.5147014053684631e-06,-1.5615344901903802e-05,-7.227715833048481e-07
TSLA,0.02378653323875357,0.001573605014517113,-1.9957982618462267e-05,-5.947144196169135e-06,4.489212570948292e-06,7.075711284054659e-06,-2.2436110058971375e-06,6.7031759566406975e-06,-1.4301126094504616e-06,6.259374186341785e-06,5.050638543468603e-06,4.270039824012543e-07
V,0.24564572270063767,5.668208971477494e-06,1.1509045705971673e-06,4.779996803587197e-06,7.689443196155316e-07,-8.422700108211824e-08,1.726720758431347e-07,4.811948670784656e-07,-2.1823608294290698e-06,5.037520899073759e-07,2.0670080781692174e-05,7.772890050806841e-07
XOM,0.01755007727627811,0.00021257804530048466,3.7182517466856437e-06,2.3091415224791602e-05,3.421126523318102e-05,-1.1056522994747577e-06,-7.353981774172673e-07,-3.0444961248535138e-06,1.933768492063256e-05,8.244479563572277e-06,1.0837449257530875e-05,3.6691498729111794e-06
