stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.011225217538204046,0.0008279393402837708,-4.3869950505773895e-06,-4.9233431133713434e-06,1.1172791041390988e-06,3.615840187463599e-06,-3.5990087744353445e-07,2.0681873596099666e-06,2.0188358065631646e-07,-4.461712914885993e-07,6.359433838471478e-07,-1.3928493092256664e-06
AMGN,0.028151018267857153,0.0004487773891556482,-3.2105950870132458e-06,5.652696099124085e-05,1.7754540938716878e-05,2.729182872305048e-05,2.476850033879089e-06,-7.790558825581301e-07,4.648295706052653e-07,-1.1403292890847412e-06,8.403044650488982e-06,-3.9412840046771044e-06
GILD,0.0642721724285138,-5.265478976146246e-05,2.3161592718825043e-06,1.383107561413974e-06,-1.2997570951681163e-05,4.162183473304545e-07,1.2033186926578488e-06,-3.924892040108374e-08,4.0346408876409513e-07,2.644550598173816e-07,9.105220778438477e-07,1.9948171017955897e-06
JPM,0.034709877335122874,0.00021620455076164864,7.551075836419694e-06,-1.8044111253956057e-06,-1.5235391472804023e-06,-1.3076068084653639e-05,-4.99821403786396e-07,9.455225151342883e-08,9.35740146283952e-08,-4.3187509768541125e-07,-1.4914964576213124e-06,-3.368831695127994e-06
MSFT,0.007518374598795785,0.0008318598671476406,-6.105412842258111e-06,-1.027677283749965e-05,5.841819303899804e-06,5.598765538228482e-06,6.255957084719311e-07,6.725149657532354e-07,-8.655815127296491e-08,1.0094467313528953e-06,-2.8102333846510496e-06,4.4428758616168535e-07
NVDA,0.0387739543390041,0.0030965807839594714,-2.2935504296465613e-05,6.789188563857819e-06,-4.023251575834388e-06,-4.4681205325785015e-06,5.1979415613747495e-06,4.852874333872519e-06,4.61484068940285e-07,-3.8624907103765276e-07,2.5761846919227145e-06,-2.37722916428187e-06
PEP,0.030322738444932384,-1.452542593731971e-05,-6.497979077689436e-07,1.1298553339298687e-07,1.4855188038002094e-07,-2.9368633333052344e-07,8.189639538703676e-08,1.1733713526567775e-08,5.516635769516634e-07,2.1182327199636674e-07,-6.733087657684805e-07,2.2934513963995043e-07
TSLA,0.008078138376746202,-0.00046856701056199987,-3.816493738143561e-06,3.2560889255195683e-06,-1.681939030868591e-06,6.2233990496159e-07,9.18026372563822e-07,-1.1405197904135223e-06,-2.374376945210236e-07,-2.775721870433787e-06,3.15087535093365e-06,-3.194508360175444e-06
V,0.14041772562629906,0.00012622023709492873,-6.326309014060873e-07,3.517485907039077e-07,5.366222723748186e-07,-9.59538256309699e-07,1.1351700878693514e-06,6.57814801174926e-08,1.8604330842407305e-07,-2.940279934607661e-07,1.124620383377834e-05,8.903879319864998e-07
XOM,0.08416626244355829,-1.842985415991724e-05,2.2913264615141718e-07,9.29518969661187e-07,-6.352053148608129e-07,-2.606634169709018e-06,-2.2511997731975188e-07,1.9571552117886886e-07,2.143231274366812e-07,3.085751008201441e-08,6.730930415810563e-07,-3.1347801272152e-06
