stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.02237317797553029,-0.00026260063719789394,9.963247079052369e-06,-1.1010279809323766e-06,6.989875746734408e-06,8.080251524998912e-06,6.700418385631799e-07,1.2380263786527808e-06,-4.551803270595964e-07,-1.2864352009635257e-07,-3.9821032011249564e-06,2.561770157098047e-06
AMGN,0.06319745070343541,-1.6271463810199598e-05,1.2848477743308143e-06,2.681579112678301e-06,-1.1118687838919742e-06,1.2451539436827872e-06,-5.700016370677181e-08,1.7923929491779253e-07,-5.867076808303762e-07,-2.7767391623803928e-08,-3.299808010364536e-07,5.671542401165234e-07
GILD,0.1152675249810109,1.3880463929038643e-05,-3.934979848841107e-07,-7.272231451956346e-07,4.000172812021516e-06,-1.426278980162384e-07,-1.0216449542807442e-07,-3.1993875307386124e-08,3.4050346236679007e-07,-8.549019883507177e-08,-3.0158538610261066e-07,-4.026635581392824e-07
JPM,0.15646234079416432,-0.00038950770982631815,6.817125232062034e-06,4.898635123526736e-06,9.913189585769633e-06,9.261352578134662e-05,-6.50887825491428e-07,2.5648395062812822e-06,1.0016820497701901e-05,1.991596215113558e-06,9.289444450601396e-06,-1.2564515854028485e-05
MSFT,0.013611246859523196,-9.067183650381936e-05,8.962301713774885e-06,-9.024031692021617e-07,-1.912087795745879e-06,-2.5921055951526804e-06,2.486484009978998e-07,-8.828576974504699e-07,1.3992901427819957e-08,8.996449886660514e-08,-4.031730080753491e-06,1.0068958774785571e-06
NVDA,0.07768929553491932,-0.002319464986584081,2.373921101717463e-05,-1.0360309767313637e-06,1.052718844997009e-05,1.4206092923314162e-05,-3.8889076704679684e-07,6.819263152238136e-06,-2.672518661264814e-06,-3.159541362706445e-08,-4.555058556094196e-06,3.322958705685048e-06
PEP,0.04087810748782961,0.0012547805178894475,4.0732146694538347e-07,-7.062570872448097e-07,-5.917845332863934e-06,-7.651907989646834e-06,1.345709296118623e-06,-6.861711541419847e-06,5.217160941290395e-06,9.937726133905953e-07,3.0410457977180186e-06,-4.120721388222094e-06
TSLA,0.018734498657093646,0.000403109455713182,-3.119821700670385e-06,1.0707471777512065e-06,-6.759876381715591e-07,5.129861176622295e-06,2.2155021301112467e-07,5.541055765161344e-07,-2.5637168733862087e-06,-1.1398538433067748e-06,1.7234927603373274e-06,-3.227733439736948e-09
V,0.21905534997201281,6.895998637369831e-05,-1.7526666352425307e-06,4.3120120245056846e-06,1.9647605850103167e-06,-4.725763824724313e-06,-1.8799196127513462e-07,-7.040273117104256e-07,7.932748063095924e-06,-8.762073730125231e-08,-2.0406957345430185e-05,-1.013887816642835e-06
XOM,0.04939406553212056,6.0889393256934835e-05,-4.5048980102963654e-07,1.2804793522469054e-06,1.9896046837168226e-08,4.2898924181113525e-07,8.125658972612419e-07,-2.034498090616085e-07,-4.7212496743467527e-07,1.1658310389271162e-07,-1.6412161886359933e-06,-4.5564654876131445e-06
