stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.016984132301617882,0.0013474957207319255,-7.856854861709821e-06,-9.617847635343257e-07,-1.1221030751086759e-06,-1.207172088818305e-06,-8.87507499125774e-07,5.156556402293112e-06,-2.852347228789322e-06,2.2782241724715734e-06,-5.606994107071881e-07,2.191735411841668e-06
AMGN,0.09723986698800224,0.0013251273426141425,-2.0771357093792265e-05,-8.532889983231438e-05,-4.6190165180172085e-06,6.825770703842123e-06,5.115943259244178e-06,3.412074914744051e-06,-2.530870796400501e-05,9.095285962804089e-07,-2.3428651589556057e-06,1.2778476078571346e-05
GILD,0.03641517322486454,-3.3770285244531446e-06,1.5931825394574772e-07,1.926828114464776e-08,-1.3019459310122945e-06,-2.1174479751246597e-07,1.622197738745263e-08,-2.4070264881415023e-07,-1.6054279363467632e-06,3.593175353059344e-08,-3.4488221725278105e-07,6.553677992346345e-08
JPM,0.024243497769766198,0.00019956741702368788,7.423352895488275e-06,4.767635532749448e-06,-1.03026980780455e-06,8.194046769388985e-06,-9.487668581716908e-07,-2.997162250582586e-06,2.901256279443222e-06,9.913524327319878e-07,1.2851084508837817e-07,4.2828718952436655e-06
MSFT,0.0022011619429759266,-0.0017322158834743972,-5.147152982878914e-07,3.7807252981867133e-06,3.785000843595789e-08,5.161457183888553e-06,1.5469043743122232e-07,3.322719133103497e-06,-3.1711445259402447e-06,-1.7151743040647363e-07,1.2245570811806926e-06,3.9353817762269354e-07
NVDA,0.03324310407118769,2.0597671893835375e-05,7.92399445812621e-06,-1.401767982704185e-07,-3.1947022928395176e-06,-3.4232416888107026e-06,6.793866276876863e-06,-7.6106899021641235e-06,6.783912057288698e-07,-2.3224848484103573e-07,-2.5107566942106787e-06,-1.4291405327943258e-05
PEP,0.052740771264907726,-8.626823243581762e-06,-3.2530131109169834e-06,-5.5503536900091155e-06,2.8392264299041525e-06,-2.410180227266141e-06,1.035869408610284e-06,8.647765567667192e-07,-2.070106249842817e-05,6.910593129970093e-07,-1.1246237074755126e-06,-3.993177288045743e-06
TSLA,0.006684965951535116,-0.00010313659505405674,-4.952223239631978e-06,4.4491399462586207e-07,5.555452489666098e-07,-1.6555740367588125e-06,3.947748612746079e-06,-1.2833661044705674e-06,-4.211574662700013e-07,2.848323567258471e-06,-1.438991250986102e-06,2.6544440252650293e-07
V,0.08584981316369134,-4.1478207237796915e-05,-4.114400516397763e-07,-1.1235780159030097e-06,-2.6148654351380933e-06,-4.49864591198556e-06,-2.88637309437397e-07,4.917818814859531e-07,-1.8723016889663816e-06,-4.666053688539191e-07,-4.224482882967777e-06,6.076459654180778e-07
XOM,0.20352743895016645,1.8819902787208828e-05,1.3909940127427964e-06,1.483151995764616e-06,-1.824171524895115e-06,-3.2989657408227683e-06,5.916926932054158e-08,6.142615774725345e-07,6.18310670049908e-07,-1.1503913563133679e-07,2.890893055813312e-07,-9.802077785665049e-06
