stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.007309097811912801,-0.0017231671137422498,2.3312645623313444e-07,1.0755660570958815e-06,-2.36279008421856e-06,-4.1506957756054815e-06,-1.8650761549804538e-06,-5.4021003526418146e-06,-4.366560919905366e-06,-8.204773494240821e-07,-5.645711406999965e-06,-3.0113228024321124e-06
AMGN,0.022739494816608863,-0.0003521265925435318,-2.0249002018728133e-06,5.254336377055888e-06,-2.977995516216379e-06,4.365376912509821e-05,-2.365915425196739e-06,1.2957670959787912e-06,2.3819751863525883e-05,-2.799504859336837e-07,1.3735427262384042e-05,-2.2442444844310777e-05
GILD,0.43089273839200126,1.779702578408061e-05,-1.1879001213850972e-07,-4.880805683924112e-07,1.4942892065074133e-05,-2.491360684424184e-07,-2.617284431550677e-08,8.498668167616425e-08,-8.427566447432353e-07,-2.3314676078522e-10,1.0284035512608707e-06,1.1556015835451233e-07
JPM,0.12139846525702502,-0.0073903487435478775,8.856640463505795e-07,1.3633358630953021e-06,-7.098452203809835e-06,-8.98954302835553e-06,-2.32293899906415e-06,2.685982897317562e-05,-5.4825747185869614e-06,1.408592482225886e-06,9.330676452498563e-06,-1.8742476154421747e-06
MSFT,0.01827562557741136,-0.0020233632851205142,-2.8881107121030016e-06,-2.718772776157562e-06,5.47249563301248e-06,-1.1580685065969902e-06,5.137137007873151e-06,8.762283192141522e-06,-2.2145409776515903e-06,-4.924166117399883e-07,-1.4263860104531625e-06,-2.54838424398125e-06
NVDA,0.07419989712865915,0.005466837644719634,2.4099435645866775e-06,4.9726424342982615e-06,-3.210568584796213e-06,-1.2070741177186965e-05,-2.6623828183130814e-06,-2.5224307328878e-05,6.05209739250803e-06,5.623334014774187e-07,-1.9359259010604714e-05,-5.812716971443479e-06
PEP,0.04443527301704875,-6.440650237618287e-05,-2.8832314828408227e-07,-9.866345401232263e-07,2.4587360762657776e-06,-3.258444599323414e-10,-4.753084064279794e-07,3.1692668104134447e-07,-1.461313628437624e-05,2.571009684973309e-08,-9.415175256726478e-08,2.3968127959466885e-06
TSLA,0.009082986397448978,-0.007036139594141064,-6.527446961471423e-08,-2.272392830454682e-06,-1.4828397563891674e-06,-1.5472181654747416e-06,1.2321515237425273e-06,-6.930347157430352e-06,-1.4170941518399568e-05,2.4311325299669907e-06,-1.2537169703840206e-05,5.231905198251201e-07
V,0.20135929421273968,0.00026344129058976606,-8.337245815264906e-07,-1.086994592337965e-06,3.6591846384580784e-06,1.7712973428156038e-06,8.836383749603625e-07,-2.170319749996895e-06,-9.238500070327233e-06,2.9328919329776457e-07,-6.622952406328621e-05,3.3740075743478586e-06
XOM,0.12057774431529622,4.3335746600390524e-05,-1.1560439215644924e-08,-2.8562123657468604e-07,-4.658234359903998e-09,3.2905797571404834e-06,-5.880229077626603e-07,-3.6082779145841245e-07,-2.150235911566804e-06,1.753282258314607e-08,-3.697796314186876e-06,-8.323287531638015e-06
