stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.0019364167500859342,-0.00019453081979855082,4.097719762498151e-07,-4.632271944489184e-08,2.7508254241610678e-08,1.859554195442705e-07,-5.14474796302054e-08,-9.262204123268753e-07,8.602482235332946e-08,-5.590248671067175e-08,1.4779708631425847e-07,7.304980051224654e-07
AMGN,1,0.08699115360489751,0.000688161805890876,3.0303490176425468e-06,-1.6397469328749938e-05,-4.108298483374762e-06,-1.9843378223855817e-06,-2.4267222969234603e-06,1.016641774239204e-05,3.256932738407951e-06,-1.7183902383092702e-07,4.669086129829523e-06,5.0234595226649875e-06
GILD,1,0.015329603693887028,-2.7580667364852464e-05,-4.597925714578619e-07,2.1894468629456103e-06,1.3099290723402474e-06,2.813553351502817e-07,2.664462687449331e-07,1.12852097761639e-08,1.5036607423531316e-06,-4.74144389441002e-08,5.438340620535151e-07,-3.3560170178359446e-07
JPM,1,0.025229336946586134,-3.422502104888069e-05,-1.8683114680576985e-06,-6.0980768391391705e-06,-3.935309923569775e-06,-2.8870266860344845e-06,8.192029257810555e-07,4.6529602791012357e-07,-7.792673353770563e-06,-3.396549090412498e-07,2.508561290706502e-05,3.824100948002767e-06
MSFT,1,0.006721856327283504,-0.0006830275456894785,5.177343397472293e-07,-6.0600339683965884e-06,4.082309154188659e-06,-1.1664022737902836e-07,-1.1300415704379876e-07,-1.873613193520898e-06,-2.7509626331540396e-07,-2.6775339696831262e-06,-5.1101388702410065e-06,3.905789030513623e-06
NVDA,1,0.005994085849129083,-0.0004452232085543242,-9.073375724284863e-06,-1.2290045062287834e-06,4.6235437156067925e-06,2.89910238593873e-07,3.782963686636277e-07,2.278037445295307e-08,-4.2887999297079116e-06,2.7692221009485513e-07,-5.3904912680676944e-06,4.318570494931599e-06
PEP,1,0.010046008819368124,-0.0016385525934623437,3.57068707391263e-07,9.819138900445633e-06,-3.20430685712432e-06,5.101574752212391e-07,2.3467589699156543e-07,-1.6185772479398438e-07,7.935236137116758e-06,4.347821319865733e-09,8.095569917803505e-06,-1.8419296749428129e-06
TSLA,1,0.007185982456084594,0.0011570058494549567,5.24530971179129e-06,-3.4473481239530393e-06,-9.807436360268133e-07,-1.5613964827558428e-06,1.95230795845503e-06,4.776895551142169e-07,1.233848402268429e-06,-8.429704674227621e-07,-5.539744183190807e-07,-8.673669942949972e-07
V,1,0.10483794843631666,-0.00019400508712757747,8.65409361209347e-08,1.233017836846607e-06,-5.74775996067088e-06,-1.6569440089879633e-06,1.1043694573525241e-06,-5.206963437295339e-07,3.681931765787488e-06,-5.779908085308456e-07,-2.2805643921174454e-05,4.480450473887209e-06
XOM,1,0.02354587345736625,-1.6402114844554625e-05,1.8937470733285415e-07,-8.768449651290612e-07,-2.2500144842832487e-07,2.1153550532779535e-07,1.5769958227754142e-07,-5.8259122220914185e-08,-2.0399259593886437e-07,-2.3822711161980756e-08,1.8395716663736e-07,3.6919669740171144e-07
AAPL,5,0.013442036594820905,-0.000862225025253923,4.243898771203954e-06,-3.4378104909199757e-06,-5.622164212442051e-07,1.3710579607967902e-06,-6.273468795634778e-07,2.5259538294299215e-06,-1.3225463069458062e-07,-1.3872774429541957e-09,1.205342033971086e-06,-1.5253456059197248e-07
AMGN,5,0.05779928402354295,-0.0016635940722089218,2.3229505183007554e-07,-3.737010104345566e-05,-3.480782965474117e-06,2.352102864197603e-06,-3.2775931667562502e-06,-9.273023852834114e-07,4.2494027776390395e-06,6.40459405026364e-07,6.432826620187996e-06,-1.8829964349149798e-06
GILD,5,0.037858248950572104,-7.53139637476781e-05,-5.35344274865758e-07,3.540527485156784e-06,5.930626015127519e-07,4.367165952158611e-07,1.8073680304676195e-07,-4.864526213429877e-07,9.622073715918569e-08,3.1300625505234467e-08,-1.9143300559359895e-06,2.607025749324093e-06
JPM,5,0.055589363211874465,-0.00046168396001675306,4.512849412197821e-06,-1.1190941122586728e-05,4.765772433722461e-06,-2.37120088215381e-06,2.9770050895518676e-06,-1.4607246244256055e-06,-9.021358319408638e-06,-1.1182517441459423e-06,1.0619430797267077e-05,-1.1500455242549083e-05
MSFT,5,0.012950975403306475,0.002464494566639553,-3.1365591529880476e-06,-3.618026731077773e-05,1.0172539454716275e-05,1.476070843127734e-06,9.932442309168884e-07,6.035105233291266e-06,-2.727406676291404e-06,-3.742281693642112e-07,-2.829356337827849e-05,6.945097067336085e-06
NVDA,5,0.0066029251220524054,-0.0012951815551714885,-3.5943548853405877e-06,1.1894650309236294e-05,-8.756468490003094e-07,-9.129224099220685e-07,-5.956420003826189e-07,-3.4919029024012303e-06,-3.82859982191419e-06,-1.33198499815467e-06,8.916228259540075e-06,-1.382386846786608e-06
PEP,5,0.004227877443718442,0.0016538701853940105,6.687782011710866e-08,2.0231216702947303e-07,3.402070887630346e-07,1.2481017418115016e-06,1.1637909694618873e-07,1.1905134155084945e-07,3.5758127361569067e-06,4.3476986016763353e-07,2.9563388935139503e-06,5.918693703047575e-08
TSLA,5,0.0044548477462191816,-3.448439651215505e-05,-3.0585193470278814e-06,-3.131984817307108e-06,-5.62525852324173e-08,3.52078116112779e-07,-2.568543480474488e-07,2.0401949023442625e-06,2.067738128692984e-06,-9.46028822101442e-08,-4.5260653439669756e-07,5.364944172717306e-07
V,5,0.0770851771091221,0.00011294155825136704,-1.6247911366894779e-07,-8.378592942580903e-07,-1.1501488409696307e-06,6.608832361319032e-08,3.4658408623529715e-07,7.26386778350589e-07,6.427666471696242e-06,1.430157998503444e-08,-2.6747162217506673e-05,2.4336231239668043e-06
XOM,5,0.011790132619267424,-2.705665883556893e-05,-1.3685098695092108e-07,6.161166032871661e-07,-8.932677112006624e-08,2.0969811562304064e-07,8.297831450263109e-08,-1.9398117190082225e-07,-7.493884639893214e-08,1.2553852874904977e-08,9.74845682181646e-08,3.8618580467794e-07
