stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.02168630150310835,-0.000240102973987862,-1.0352795231312765e-05,-5.133109625947658e-07,-1.384338002068534e-05,7.497076460190863e-06,9.565482331312897e-07,6.498171430889301e-06,1.796875532131123e-07,-1.2723719531012061e-06,1.3030343195152583e-05,-9.733805838706843e-07
AMGN,1,0.008262035184236294,0.0017936880714581648,-4.235924098505617e-07,-6.902907598154041e-07,-5.436205894053312e-06,9.40972781467678e-06,-6.008893581895031e-07,6.889554267562229e-07,-3.1360058543244696e-07,-6.658100807116375e-08,8.176648698060611e-06,-3.886923345832859e-07
GILD,1,0.029786628186012076,-2.7748712485775733e-06,5.543210866625434e-07,4.4503668231272446e-07,2.4251394685852814e-06,-1.8306386172715635e-06,-1.521994454910484e-08,-1.1867062163803365e-07,-1.0339080226372829e-07,3.851333042453154e-08,-1.364263398610925e-08,7.985726842841307e-08
JPM,1,0.012781888265904096,-0.0018651825369483087,4.073808594507508e-07,3.0400023396785075e-06,-3.5633540553835864e-06,-1.368909296240748e-05,4.3816013160972544e-08,-1.3674668888881121e-06,2.6365926996764373e-07,4.825593024066311e-07,6.208282435676876e-06,-3.718493058731619e-09
MSFT,1,0.009413748497217989,0.00022703924978146616,-7.827490692591421e-06,-1.0308411851124287e-06,-3.1034089800060637e-06,1.0467983705865058e-05,4.663148391659065e-06,-7.170388379699692e-07,-1.8445577876192645e-07,-1.2088237847051874e-06,2.649290366368533e-06,-1.0962974573644234e-06
NVDA,1,0.017773303443243793,-0.000818326344412497,-2.267683370144286e-06,5.594566596996534e-07,-3.789038236588891e-07,8.922405316387328e-06,-3.2347665780861035e-08,-3.4269373407837372e-06,1.0378738506719255e-07,-3.6405787797590988e-06,4.506485824214411e-06,1.5817656121470683e-07
PEP,1,0.010742948291782906,-3.075150761764039e-05,-1.1076691118378285e-07,2.3587201634174308e-07,-9.329009392910723e-07,1.0825994579825388e-06,-6.069282370672605e-08,-9.84567391881905e-08,-1.4117397287676113e-07,-1.6763892978499193e-08,9.422106843910701e-07,2.1749580035114486e-07
TSLA,1,0.0014478335015323252,-0.0008895446314817429,-2.6298353550712247e-06,-1.2431023182800337e-07,-2.333381299160967e-06,4.6799559353676115e-06,5.076994246799111e-07,1.8397086599537006e-07,-1.9858146396380394e-07,7.30691150759908e-07,3.371109305167356e-06,-1.4911943482221879e-07
V,1,0.028350862451038572,-0.0019700947313901554,3.2833322351593977e-06,1.948776737513364e-06,1.2222424913950765e-07,-4.776570154733291e-06,1.2720737960235156e-06,-1.6464460076261305e-06,-1.3979080050165733e-07,7.861061152731921e-07,-2.4079684793524533e-05,-1.9391939758741836e-06
XOM,1,0.07216959134623535,0.0005104608385987469,2.079049531145617e-06,-6.834231519098906e-06,-2.8782381434126644e-05,9.781690497371054e-05,3.669434058561969e-06,3.489921673940382e-06,2.6249719795197555e-06,-1.373109268778774e-06,-4.6642057800398946e-05,-2.229951711840601e-06
AAPL,5,0.02287677551997369,0.007061166346560665,-1.2934839464819108e-05,-8.144529306110073e-06,-3.0342313388894156e-06,-3.1096637832791475e-05,2.948347484351058e-06,1.0745966193247567e-05,1.9623238348836486e-07,1.4692381778422668e-06,-1.1042812742871749e-05,-2.7471552786984175e-06
AMGN,5,0.03176314485147047,-3.219445917984218e-05,-5.014136541380492e-07,1.2632536293442059e-06,-6.653427525738674e-07,1.877282685939682e-05,-1.2284271173403518e-06,-4.0575018149678547e-07,2.1723465311408004e-06,-4.886241486191432e-07,3.33999215614354e-05,-2.8911815520528226e-07
GILD,5,0.27925532312468027,-0.0008173342209641895,2.628408329588603e-06,5.9399262453567354e-06,4.347540698375536e-06,-4.696340864261118e-06,-1.0809237059099442e-06,-2.8475151262396445e-05,2.75447225192354e-07,-7.182929825213146e-07,-2.2734928429476715e-06,-1.6051156116194761e-06
JPM,5,0.1778644070511446,-0.00010189697258053937,1.2616180836889757e-06,9.410154874290514e-07,-2.471022165593773e-07,-2.6775507575990712e-05,-4.746851511719546e-07,-4.959988114715138e-07,-6.880129137509444e-08,3.447556837984257e-07,-2.1919896276958178e-06,-7.060179759736377e-07
MSFT,5,0.007238709733723092,0.00431565704178339,-4.552659586480315e-06,-5.176596250205538e-06,5.554702234622982e-06,-1.4632806205768362e-05,3.9840082734700916e-06,-1.456874429217609e-06,-9.708547578612949e-07,2.1858388062661922e-06,-1.681453483330244e-05,-2.443468998481531e-06
NVDA,5,0.009860040465107023,0.004898163765220545,-1.4775383917527445e-05,-6.663804716690764e-06,8.165554685593529e-06,9.383584476753701e-06,2.6255092787209242e-08,4.806204987104859e-07,6.698373901247483e-07,9.215779422075001e-07,-9.869651586343464e-06,-7.77448914478968e-08
PEP,5,0.03168131118926554,-0.0002138981937993402,-2.1496632157461042e-07,6.052772874864852e-07,-1.5612703678312878e-06,-4.490349658715667e-07,-1.742020900786644e-07,-3.784395717039413e-08,3.90635589450242e-08,-1.413618101000367e-07,-4.3045979220826623e-07,1.3233039362025276e-07
TSLA,5,0.002739994059241524,0.0010010937028688308,-2.7093494440699705e-07,5.593577624619345e-07,2.8123608979704663e-06,1.1400756262880073e-06,-6.41419097826103e-07,-2.4537202516628543e-06,-2.983084377469428e-09,-7.438498957209136e-07,9.482784371997029e-07,6.516997415100433e-07
V,5,0.03501374965218296,-0.0017079715768043065,-2.8579715719350802e-06,-2.1159663708932906e-06,-4.592060432545596e-06,4.021106424281282e-06,-8.706333343740629e-08,-2.284614386758211e-06,-2.4042945012404446e-06,-4.4856393632754666e-07,-2.5242844318394974e-05,6.696222721107053e-07
XOM,5,0.07979366093930929,-0.00042160706961913316,-2.8134259268773987e-05,3.4515603262586394e-06,-3.501319229978423e-06,5.224023830745333e-05,7.397248986332382e-07,-4.226529765863774e-06,8.16159086277374e-07,-4.6936641993192635e-07,-4.299956373827507e-05,-2.58513963354704e-06
