stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.015309849468649106,-0.0027997905594256784,7.289719804672575e-06,1.6589662100251477e-06,-5.44759283527647e-07,-1.5976824691619461e-06,-5.992994341555348e-07,4.769914149592635e-06,7.576633689964436e-07,1.1347650567191674e-06,-7.56974618497665e-07,9.214228964192223e-08
AMGN,1,0.012449491272073288,0.002047126886579823,-1.5160997299638123e-05,-2.8165521413404012e-05,5.83469329409049e-06,-1.048615089866956e-05,4.251895082824731e-06,-1.7499982901127135e-06,-2.9086047934459437e-05,-5.082142963641603e-06,3.013388993807374e-05,-1.000893996327666e-06
GILD,1,0.05474747634613142,-5.2637997769320275e-05,7.304289574800076e-07,1.811992868160206e-06,-3.013852654392827e-06,2.163094149326842e-06,-2.592113832116164e-07,-2.1743512554193043e-07,-4.318836912934929e-06,5.135280841924739e-09,5.5480758910497e-07,1.3876611668298941e-08
JPM,1,0.006333882288006465,-5.779767600236672e-05,7.276559502074412e-07,-5.399195861355748e-07,-5.284800195937543e-07,-1.2500391321829227e-06,-3.0896254966211535e-07,-1.6767857504397421e-07,-1.2822886815983184e-06,-4.120321036061046e-07,-1.8292885778986149e-06,1.3470481132559305e-07
MSFT,1,0.02304610924813666,-0.0033148506924074806,6.535303939107596e-06,-9.2124571010231e-06,7.265694194309902e-06,-1.0764443070957629e-06,7.20422009301826e-07,-5.460643375943357e-06,-3.53799257931275e-06,-1.740332790502098e-06,8.204609180853635e-07,2.729929443727992e-07
NVDA,1,0.006503626583284405,0.0008228672268092139,-1.2703245718468108e-05,4.398241783039265e-06,1.2926594783806165e-06,4.2474728278797315e-08,-4.907956903532462e-06,-1.5837333543632923e-06,-1.5236458859754764e-06,2.0515808496303753e-06,-1.9781176759061305e-06,-8.210090459096716e-07
PEP,1,0.0485640364502431,-0.00016212146046015982,-2.760725602663085e-06,-1.3358073203029174e-05,-9.073667422557486e-06,-1.8450789466089765e-05,2.073611511319014e-06,-4.665210734133438e-06,-3.588597321242304e-05,-5.741298874799153e-06,1.2728107236650662e-05,3.7288984593513366e-07
TSLA,1,0.008383816930497945,-0.0013412710619538127,3.3106236240040317e-06,4.3204691076668625e-06,3.9127839414385514e-07,-5.4494226494072485e-06,-2.848435773099801e-07,-5.62160579622884e-06,-9.466505981602044e-07,-4.1806725550623e-06,-1.4197751959514658e-06,-1.7673522921213483e-07
V,1,0.08845804719571937,-1.9689736240171605e-05,-5.682587399016747e-07,3.44279087142775e-07,-1.2185339584902764e-06,-1.348672994121248e-06,-1.717683233151839e-07,-5.409130360340364e-07,-4.333211635166126e-06,-9.484637330721079e-07,-1.0848842401749348e-05,1.0320141748066403e-06
XOM,1,0.014487125840486614,-0.00039748317672278003,1.0259933694281553e-05,-3.765359211302542e-05,-3.877434619336887e-05,-1.8828857276816292e-06,7.533651790427294e-07,7.3833516195508775e-06,-1.99166161301065e-06,-4.157938274951835e-06,3.320217842028831e-06,-1.1188403119623713e-06
AAPL,5,0.0588477771231134,-0.005534151791997385,4.6277434335506155e-06,6.83528327615395e-06,2.667163249399301e-05,-7.0656328105814305e-06,-3.4597577057934824e-06,9.138953758939423e-06,5.2107442870275076e-06,5.277043665931879e-06,-1.42433880115399e-05,-2.3301962920693413e-05
AMGN,5,0.027312791365907474,-0.0001489001656102178,-3.681693898800593e-05,-4.606287390459899e-05,-9.562644033223525e-06,7.385705310145469e-06,5.027398697371997e-06,-2.1755096566132587e-06,5.824217449389782e-06,-3.4231461239953205e-06,6.244439199142681e-06,-4.08001705569894e-05
GILD,5,0.07675045419074922,-0.00022883467013714423,1.1974111785771246e-07,2.2931940058811663e-06,-2.1213309223370302e-06,2.2037777992019704e-06,2.961433539402679e-07,-2.030296864321523e-07,-2.877891857628998e-06,-9.517493636266703e-07,-1.3358162159117925e-07,-1.6621154178338578e-06
JPM,5,0.013038560863736337,-6.542729158630304e-05,1.367327345136424e-06,-2.251833224853676e-06,-2.2064176092819802e-06,-1.9188491665089897e-06,-1.5993169110829319e-07,-1.7984210603895517e-07,-5.993254240006201e-07,5.876889565122386e-07,1.393836435418527e-06,-1.1582588859764903e-06
MSFT,5,0.11386701423652501,-0.0022926046884477105,1.1209750635103217e-05,2.6019399932809457e-05,-8.927588854507025e-06,2.24333973643474e-06,-9.01520559375138e-07,-1.2647058700997184e-05,-9.456266114712088e-06,4.391652081337778e-07,1.0082049423445231e-05,-2.3967510756478374e-05
NVDA,5,0.0659286560105804,0.00010480152678360053,8.15092619903305e-06,5.976508234080229e-07,-7.651709689602253e-07,-6.716407860943134e-07,-1.479224682004401e-07,6.285269718346863e-08,5.129438342240481e-07,-6.179276988010895e-07,3.108392947816822e-07,-9.773523387320424e-07
PEP,5,0.038544971160380026,-0.00019765883129866784,1.452728644164467e-05,-4.639817080925125e-06,7.846803418439415e-06,-6.428313676752209e-06,8.448851276704551e-07,2.41104816713399e-06,-1.728891316542916e-05,5.855583062161016e-06,1.5671037579137057e-05,-2.356422544916105e-06
TSLA,5,0.01981015294776578,0.003001145802887347,-2.084854314338115e-06,1.2988412078504381e-05,-5.868597431215089e-06,-6.820109693783181e-06,-6.642908730238107e-07,-6.003495315546651e-06,-4.778473676650389e-07,-8.994568946549662e-06,-8.029085486267378e-06,-5.384514022731058e-07
V,5,0.09222176149904127,-0.0001607749675976513,-3.5044505172552365e-07,-2.8268622263730735e-06,-2.083357992662281e-07,1.2883307067378235e-06,8.401395757304192e-07,2.8438637074859785e-07,-2.3533992840181866e-07,-1.969632780414436e-07,-1.4117807623840897e-05,-2.778816537737927e-06
XOM,5,0.01578463059966506,-0.002049269336255972,-2.5024504982363895e-06,-2.0127044274478085e-05,-7.705117410862857e-06,2.038820035510887e-06,-4.134074777079924e-06,6.292722555463607e-06,-2.5986521803552778e-05,-1.7319703285665105e-06,-1.149014521267354e-05,-2.5792543029274077e-05
