stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.016836102420610843,0.0035825363402207273,-1.9358959492919867e-07,-2.973177356561127e-06,-2.3847203202855173e-06,-1.3177871215117825e-06,-2.5830298768105987e-07,-5.655209983623289e-06,2.7708153017206062e-06,-3.7574832892278327e-06,-8.985858733748438e-07,2.079672153824034e-06
AMGN,1,0.06645631689268927,-0.0031932275206680637,-2.765916863737861e-06,-1.260899248710869e-05,-1.2723942844198114e-06,3.336074847558728e-06,-2.5609377795114235e-07,-8.949183245355744e-07,1.8026593392802418e-06,6.1093891636626196e-06,-1.8875021472106283e-06,2.6981587251069836e-06
GILD,1,0.03299929131829382,-0.0009728591437822773,-2.397847987845888e-06,-5.4128245710638235e-06,-7.01751160442942e-07,-3.9611078297520725e-06,7.488746489638101e-07,-6.229563909946816e-06,-5.875587554057886e-06,-1.8495759745223232e-07,1.2418070602321678e-06,3.2196166987612597e-06
JPM,1,0.06250509481729527,-0.003427871008451343,-6.22009250791663e-07,-7.207478681545411e-06,-1.1261428751651103e-05,1.9739409611454115e-05,-8.883328963215493e-07,6.89324022014021e-06,1.5421747394784815e-05,5.070288618417353e-06,-7.267565610045572e-06,4.742795262995813e-06
MSFT,1,0.011075918205986524,0.0013748449987281914,-7.110096225909313e-06,1.6635084257607243e-06,5.6270048338687e-06,-2.6695002612473294e-06,-3.8267578784084876e-07,-5.847728436024652e-06,-8.320896521342156e-06,-1.4497762503315555e-07,5.238363716606788e-07,-2.4271808470687985e-06
NVDA,1,0.00726791996947207,-0.0005627063241545865,2.6021645035585898e-06,5.14815064408193e-07,-7.166180562054583e-07,8.517581176181093e-07,2.212036505100989e-06,4.889046015857374e-06,4.844593921928955e-06,-5.327027393286924e-06,-1.057005931653296e-06,1.2429322175904314e-06
PEP,1,0.030979844488783437,-0.0008919658119021727,-1.820980243590378e-06,6.7293809830907575e-06,-1.1079271562779752e-05,-3.0815384296461447e-06,2.1769470676575983e-06,1.0382810655676677e-05,6.517265113713671e-06,-6.459930273960771e-07,3.7957474752294014e-06,-6.572482639983883e-06
TSLA,1,0.003769029163328219,0.00012651418420165145,7.106462065953306e-06,-2.66762549621111e-06,4.535044548359772e-06,1.9094633957650444e-06,1.8271306481940466e-07,-7.195905631670735e-07,1.6290704333745097e-06,6.833606810765043e-07,-1.070679899427461e-06,7.859205600850742e-07
V,1,0.03887966283894295,7.287463238644309e-06,9.057199519611896e-07,1.774906427660811e-06,7.835254900347975e-07,-3.211297637670434e-06,2.0466182888966935e-07,-6.483298068493974e-07,-1.5191145250087447e-07,2.1526157624451378e-07,2.1548636077961073e-06,1.2665858494058525e-06
XOM,1,0.050632241277358214,-0.0004412045954705412,-1.0387359404537899e-06,-4.695464778213661e-06,-7.350356001945208e-07,2.055942006626832e-06,1.42794123112476e-06,2.1295083571483466e-06,2.839859299586087e-06,8.553592246227686e-07,2.1490272691642903e-06,4.409667386704485e-06
AAPL,5,0.00464820129570398,0.004762938963199374,3.2130446443234088e-06,-5.524997784844186e-06,-7.580992657076367e-06,7.804886817427843e-06,-1.6169019941372362e-06,-2.5079961066875862e-06,9.626357930595626e-06,-1.371093132323285e-06,3.512445272334415e-07,6.027583850112546e-06
AMGN,5,0.12191545883971566,-0.0018923456855156728,-2.2201832555639613e-07,5.858049565308664e-06,3.563453574320333e-06,3.7694727508815636e-05,7.365421657895897e-07,6.260356840629471e-07,1.866315370724548e-05,-3.6743351376579824e-07,-1.9560183346131424e-06,-3.227952361921585e-08
GILD,5,0.02391219874150763,-0.0003833924376283412,1.6118616794155332e-06,-4.33985406133909e-06,-5.555695861249888e-06,1.7090395740626477e-06,-8.497092225175281e-08,-2.101719428597234e-07,4.396151073589082e-06,5.943859004244054e-07,1.9812190607561318e-06,-2.9964073849762427e-07
JPM,5,0.10271784051135369,-0.002771691010169699,4.466222942422392e-06,3.2435899567455713e-06,-9.591919642524016e-06,4.4821193662164664e-05,3.069814912282132e-06,3.1251069772020218e-06,2.661236491987766e-05,2.4079042861743193e-06,-4.089367558925738e-06,5.889395205888232e-06
MSFT,5,0.014203512769818905,0.00447437781282327,-6.437048247999199e-06,-1.3661187649202414e-06,9.922578300768305e-07,8.922504000455408e-06,7.132469198106929e-07,-1.5404148868786534e-06,-2.2161136584519963e-05,-4.260995133682612e-06,8.495164224429851e-07,-6.666546944881835e-06
NVDA,5,0.00986755239164161,-0.002015961600374141,1.1445920897354548e-06,-8.90343799218116e-07,-3.5772963974189704e-06,3.0904001458076134e-06,3.455682186634046e-06,9.243182599138588e-06,9.572741940924696e-06,-2.672579490606075e-06,-7.671596122215025e-07,2.9908810123025734e-07
PEP,5,0.03805260683520051,0.0031438091606372,-3.7906837691537008e-06,6.064515960968202e-06,-4.626941431430845e-07,-8.383939036967717e-06,5.77458967865797e-06,4.852246870620626e-06,3.312129719408185e-06,-8.424446813757815e-06,5.522457504848789e-06,-6.989432994596541e-07
TSLA,5,0.003505589693984623,0.0007157446997311534,6.077773763820576e-06,-1.9970855598153214e-06,5.831888184841152e-06,2.0996918356380366e-06,1.085107592473514e-06,-2.4205198747604986e-06,7.608679571203934e-07,6.537489370392865e-07,-1.8118962802184693e-06,-5.367844203129013e-06
V,5,0.01901328640842781,9.363048717856119e-05,-7.633550560906982e-07,-5.229797693058002e-08,-2.0031578563783672e-06,-9.315476674885704e-07,6.355850365567607e-08,-6.112151158090103e-07,1.1882657840319474e-06,-8.115427347333048e-08,1.5768050124412947e-06,-5.698882164355118e-07
XOM,5,0.04987530184785105,0.00044361140756283093,-2.83316565367101e-07,-6.456590053684577e-06,-6.821473256696065e-07,-1.0330100417723309e-07,1.378493926630803e-06,4.08926927072924e-07,4.625695509291064e-06,-1.1807925088755194e-06,-1.5030142175863383e-06,8.785674964609958e-06
