stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.01221937589164368,0.0004645170124478573,5.027959073008352e-06,-8.074737772215617e-06,1.8501693536988373e-06,6.583073208616223e-06,1.77987164348428e-07,-1.9258236128492445e-06,-3.59961701387984e-08,4.146750630166123e-07,-2.2430374287494694e-06,1.4973697558352058e-06
AMGN,1,0.0427273995028391,0.00015387220230689882,8.689372855043528e-06,-3.4143878745884565e-05,-2.3441279666502e-05,4.968607672209031e-06,7.650086907959263e-06,7.895438787004911e-07,9.375459866300556e-06,9.376839569843626e-07,-7.369428106192688e-06,5.284879992904134e-06
GILD,1,0.02752880276146885,-5.299969930494132e-05,-6.554943028419626e-07,3.1828973276248204e-06,8.1893118851389e-06,4.836280121576525e-07,-4.6009740656295785e-07,4.7532964647105016e-08,1.0020195387631712e-06,5.60874507848965e-08,-2.362644508086834e-06,-2.2922525875186706e-06
JPM,1,0.020428069042732755,-0.00011610375172434759,-5.2175147171909385e-06,3.7511892281227983e-06,4.575897660043933e-06,1.1067004876054377e-05,2.712993393338093e-07,-6.742502624458301e-08,-2.39804565472564e-07,1.164421675881255e-07,-2.1193042422459213e-07,-1.7700652179795357e-06
MSFT,1,0.004784424920824315,0.0010405027335069097,1.361847522195765e-08,-4.2824312697572785e-06,1.5694974228984363e-06,1.8433373149466206e-05,-1.927783714659197e-06,1.0144877706405755e-06,5.50216898114664e-07,8.211268833188057e-07,-2.347401457454627e-06,-1.759752869310043e-07
NVDA,1,0.005329000952953078,0.0030002473764381586,1.8759906830325283e-06,1.0530214404448996e-05,-2.924598524421067e-06,-3.593248887034599e-06,8.359450242958094e-06,3.8126592894566075e-07,1.1296622580962586e-06,-1.0039471778376277e-06,-5.269774952480901e-07,-9.850261827316448e-07
PEP,1,0.02828906355154992,6.961143288639948e-05,1.87221149239203e-07,2.086635081824944e-06,9.302639961049339e-07,2.628618121340199e-06,-1.5696289045326332e-07,-3.090738078677288e-08,-2.3350735820542632e-07,-8.524493502691733e-08,4.815997240509338e-07,1.0144611972419128e-06
TSLA,1,0.0019906642766631677,-0.0005656780675066574,-3.328091785613837e-06,1.0182260795426407e-06,-1.0697986626723347e-06,4.46807195127878e-06,1.8157260134995557e-06,-2.413177684813003e-07,3.6715079659271695e-07,1.0298068233275175e-06,-8.55164271228065e-07,7.524621974780259e-07
V,1,0.051531401300372925,-5.867885614216924e-05,-2.019484375424589e-06,-1.4174586197313845e-07,1.2052942833679797e-06,4.320778722465145e-06,-1.038518149440895e-06,-3.3402850125866644e-08,2.1697548047023092e-06,2.289142863868917e-07,-3.751548106162552e-06,-7.415095862536977e-08
XOM,1,0.038599649686731685,-5.190352770638365e-06,-8.712908821298418e-07,-9.724773510308169e-07,9.991813090421399e-07,-4.7450384618153504e-07,3.753397278461318e-07,-2.1403808067007474e-07,-2.7792281264584497e-07,8.50271467874691e-08,-8.966711197329698e-08,1.1992980848276072e-06
AAPL,5,0.015553176636225352,0.0001369609308005909,4.940160849734138e-06,-1.5045289075796377e-05,3.746456108184232e-06,1.385378649098584e-05,-1.2869449718545733e-06,-2.9440163691124365e-06,2.7713950427877893e-07,1.2944263184803564e-06,-2.899064241624768e-06,1.9636498977826264e-06
AMGN,5,0.059510158953090087,0.003597398046261629,2.736482719191126e-05,-4.0769682555486905e-05,-1.1628830768734843e-05,-1.680672289498586e-05,7.143992715208972e-06,-3.0588594306851845e-07,5.022240993613996e-06,9.732656516984664e-08,-8.287135235729974e-06,4.683962502025741e-06
GILD,5,0.03361785809415385,-0.0003368994270842046,-2.156614035801393e-06,-8.888230727085607e-06,3.3171062548691545e-06,-5.9334415877605585e-06,-1.985034281450837e-06,1.2183516681602744e-08,3.720689453449681e-07,1.711328986814656e-07,6.800689427901958e-07,-1.8138193603558703e-06
JPM,5,0.01791458628061382,-0.00012157538886666302,-4.95913144821406e-07,5.451715212098266e-06,4.751475956770908e-06,1.1025152938639052e-05,-4.2748719187318546e-07,-7.470316906019298e-09,1.3524286254193494e-06,-2.121209680504695e-08,-7.986761503817955e-07,4.524778632754014e-06
MSFT,5,0.010197188673470081,-0.0006927914856835576,-5.398889177155234e-07,-2.5242881294173102e-05,3.7218143430076895e-06,3.53199605055916e-05,-6.3687197346667305e-06,1.2783536391185884e-06,-3.2638669028845163e-07,1.2551426704349286e-06,-1.6822754024752108e-06,-5.103379331595393e-06
NVDA,5,0.010727031964368416,0.00257700831644502,1.7536604360334756e-05,1.738596999233129e-05,1.2229889659720169e-05,-8.616638502805577e-06,6.555140974772413e-07,6.461464461984232e-07,-6.134453851832163e-08,4.6623279021480885e-07,-6.830426176513792e-06,-9.296898375196622e-07
