stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.021300911265335398,-0.0015214082223068911,1.1509360743387867e-05,1.5062580856538484e-06,4.075677390295834e-06,2.5052144336302947e-07,2.836161926215092e-06,2.2469959281562847e-06,-5.390469864087094e-07,2.5549786788019433e-06,-2.794191860559472e-07,7.407077022738242e-07
AMGN,1,0.09291269224775789,0.0002027864108793628,1.989397051267902e-05,-1.889835883753133e-07,-1.5392502459580036e-07,8.341554558022328e-07,-4.825035701991764e-07,-7.142534945046869e-06,-3.9414443860016044e-07,-3.3723804593407074e-07,-1.1614507412554092e-06,-5.331567951695692e-06
GILD,1,0.0923684944475115,0.00017670774737144003,-2.662134295908375e-07,1.1517615672683181e-07,7.57825058815408e-08,-1.0135031239557982e-07,3.063090465095508e-08,-6.106150878857253e-07,1.1100763900692366e-07,-9.777595607693116e-08,2.1704267643624162e-07,5.4601462006850546e-08
JPM,1,0.014911797766754775,0.0001973189014199182,-8.374715480521636e-06,9.318237758551492e-07,-1.3939737975618937e-06,1.0565946927992003e-06,-1.161402516351161e-07,-6.368330694908519e-07,-2.7227051675311354e-06,-2.0256083445494837e-07,3.042565488493506e-06,-8.972644626699759e-07
MSFT,1,0.01568382718248207,-0.002753124562752245,-3.883614856147318e-06,-1.187149264039255e-06,2.175865395040255e-06,1.7852334682558856e-07,1.5234689759925805e-07,5.044366608500265e-06,3.112181590422889e-07,2.915229468656888e-06,-5.227014580548465e-07,1.5525431129435459e-06
NVDA,1,0.0028645845700749906,-0.0017708091585850185,6.981064464605196e-06,-8.511121950545117e-07,-1.2009242201831397e-06,4.31225049963304e-07,7.717819785140516e-07,3.1502219516741116e-06,3.075054106513136e-07,-1.5976406437800992e-06,-4.306087403430527e-07,-3.052116607131237e-06
PEP,1,0.04634563923470514,4.364134660150448e-05,-1.9656389865754734e-06,2.8620302553029416e-07,-3.0946891947438146e-07,-1.2254247627443372e-07,-3.4396126577635017e-07,-9.955747287243146e-08,8.859317327178277e-07,-1.3977321917653966e-07,9.791511675861238e-07,-5.783109031400945e-07
TSLA,1,0.010043658551408319,0.00033766974213457555,1.2319425584241632e-05,1.1340562143890084e-06,6.971363950426834e-07,1.1453522930072353e-06,5.01471411208536e-08,-1.7907542239871895e-06,-7.467353870886844e-07,2.7296984955043777e-07,-1.553103874871833e-06,-1.255368147973859e-06
V,1,0.09536382206070626,0.00035270566158253466,2.0205935182637717e-05,1.0531021697563412e-07,-2.1820796471615226e-06,7.180495188297707e-07,-3.9574148476502635e-07,-7.458906400083109e-06,-6.480497827481621e-07,-4.664900640698128e-07,-6.845630581656844e-07,-5.273547163419728e-06
XOM,1,0.04084846942441955,6.176546273336174e-05,1.4964233185931745e-08,-7.633774344669906e-07,-3.0010659511967194e-06,7.259201878080573e-07,5.427992081143103e-08,-6.34771746642523e-07,4.6854816101217424e-07,5.220047318307317e-07,-1.0005579847909162e-06,2.868666201836528e-06
AAPL,5,0.0056128085774278524,0.0011805056036777663,3.0043594186840976e-06,1.4024806075650186e-07,2.153488857405471e-05,-6.088453439268787e-07,4.248876833444338e-06,1.574596701943897e-06,-7.519960834843669e-07,6.950364935623145e-07,9.75674281707862e-06,8.377556795381846e-06
AMGN,5,0.04079138776083435,-0.00014751441531180284,-7.271979354154938e-07,5.794540464205376e-07,2.730651402577705e-07,1.5157552817715918e-08,-1.3853420528543694e-07,1.028174432948021e-07,-1.8648665939409963e-07,2.796941388078282e-07,-3.5350592067667314e-07,1.1018052508584272e-06
GILD,5,0.025322343591777985,0.00010467508802913666,-4.921433939957098e-07,1.866719431104951e-08,-2.832288906917202e-07,-1.735998522353496e-07,8.190871858021727e-08,8.426922244136985e-08,2.583759094503351e-07,-5.02079288431245e-08,-6.168411240164401e-08,2.9428473460899936e-07
JPM,5,0.015857150599228653,0.0005301327630139243,-4.820367088749548e-06,-2.2871900802630163e-06,7.532913550349024e-06,1.2735864839326427e-06,2.624285102630448e-07,-1.5396119871274414e-06,-2.037671815322879e-06,-1.2092217221737494e-06,1.696427319232151e-06,-5.1771057886006406e-06
MSFT,5,0.06873886347139979,-0.0004167094083145121,-3.5705270402776004e-06,-1.3012345552365386e-07,2.999456098851554e-06,-3.25233135780565e-08,-8.717546138561177e-07,-6.1928422272993425e-06,-1.3531101022612836e-06,3.4755251000322923e-06,3.761680163178129e-07,-1.4209158877047786e-06
NVDA,5,0.01223906944646369,-0.0007336216111924251,1.60754070102051e-05,-1.1355154432075203e-06,6.683901746356384e-06,1.4694936730981695e-06,-2.3300627683243765e-07,3.0992393064365506e-06,8.991354790899151e-07,4.255449620594305e-06,-1.1675551973997312e-06,6.9916933184092465e-06
PEP,5,0.024196826848870256,2.399263771802174e-05,-6.764670827264091e-07,-2.770507426961869e-07,1.3656681270939773e-06,-2.771222903496579e-07,-1.298560006505034e-08,2.442388954118512e-07,2.1033135965195823e-07,-2.92577064625669e-07,7.282541368392319e-07,-1.6174538680120553e-06
