stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.0032580497215595194,2.6425667495940908e-05,1.4685721852131444e-06,-8.104287863327139e-07,7.242622655579329e-07,-1.4756125778338752e-06,6.043631814727103e-07,6.919509819275412e-08,-1.5128605462490755e-06,-6.935735771483634e-07,-1.7256396771908735e-06,3.283128243908924e-06
AMGN,1,0.03067699852178385,-0.008836984595982967,3.687068709642487e-06,-6.400491429930054e-06,2.131375504700795e-06,-1.3343977141804664e-05,7.0070837858603874e-06,-3.1502560925225347e-05,-8.00976331325558e-06,3.609044523718966e-06,-3.103044687008551e-05,-1.5924439984388528e-06
GILD,1,0.036001941908591406,-0.0017904014413943372,7.3098143983914146e-06,-1.0641740028938484e-05,-4.045135758466501e-06,-1.030003365443535e-05,-8.042723141372382e-06,-1.5176538050157148e-05,4.189849529337001e-06,-8.721976005530884e-07,5.744442765552633e-06,-6.0533990359894975e-06
JPM,1,0.025175995285655617,-0.00025707140951514054,1.137110597509276e-06,-2.1436143094669704e-06,9.608812375466747e-06,-2.7321839414294067e-05,2.69535739630319e-07,-2.1978990495868837e-06,5.73641167416797e-07,-1.9861883640743325e-07,-1.1013988509578821e-05,9.404266880513533e-06
MSFT,1,0.008566531726618809,0.00279960780934309,-1.5483031492119973e-06,-1.1339644569986886e-06,-2.774865318059235e-07,-6.404167643342547e-07,3.3406202371434944e-06,4.0579444495883986e-06,1.2109754147720283e-06,6.263880906557529e-07,-8.434736415694996e-06,-1.169372758775818e-06
NVDA,1,0.0025893174899218607,0.0038383132887891344,-2.019708780307211e-06,-9.522488861545033e-07,-8.699620902845922e-07,6.537089707498023e-07,-4.794570852397459e-06,1.6396912538271083e-06,1.402858929683038e-06,2.853842224173278e-06,-7.377576927900839e-07,6.431483053768894e-06
PEP,1,0.01375333856768901,3.256008281302567e-05,1.0739470170968985e-07,3.372004633818109e-07,-3.364370007630006e-08,-2.88621440576124e-07,1.1850914740891549e-07,1.9080747241963086e-07,2.2502778099840172e-08,4.83626591461058e-08,9.245305576888484e-08,-1.6711468506297388e-08
TSLA,1,0.027586763908939882,0.0005495680847439245,9.06448663159427e-06,-1.0140138480093589e-06,6.620351427662035e-07,-7.040545411013517e-06,2.5806182581581483e-07,-1.5099584671636922e-06,7.227302131038242e-07,2.013145257478557e-07,-3.5008771782910323e-06,-2.0580685210572266e-07
V,1,0.07150662512602257,-0.00019575550879338542,1.3134308134620258e-06,-2.881213989830009e-06,3.184172154168141e-06,5.292622723209545e-07,-7.759098280259755e-07,-1.6118420652372831e-06,-3.872247137156067e-08,2.6202227872014436e-07,-1.1230239386778149e-05,-3.4163667701457616e-07
XOM,1,0.05296406883189908,-1.6724825497263805e-05,9.515142325269456e-08,-1.5283954065617663e-07,-8.109713426608497e-07,1.2695713894934979e-06,-9.24915731292566e-07,-2.0718735313371275e-07,4.3587998698199405e-07,-1.1064205477286423e-07,2.1354872794138502e-07,-1.0412778503659595e-06
AAPL,5,0.05020480523543902,-0.0030753475891065864,-9.206948024120889e-06,1.9887668562162674e-06,3.7350138009709275e-06,-9.122455802135542e-06,1.2113419004238122e-06,-6.321432200947717e-06,-1.1638046342950358e-06,3.3322407234695964e-06,-1.3861677646387124e-05,-6.726317996064542e-06
AMGN,5,0.018165524153649915,-0.0015056214970472755,5.805699154814038e-06,-1.5220142052736991e-05,-2.920946171315421e-06,-2.4864474972012568e-05,7.871898857958438e-06,1.506164524463076e-06,-8.799232867836688e-06,-7.629452213699895e-08,-2.544192795231607e-05,1.452339009603815e-05
GILD,5,0.029457455515412234,0.004435436763629693,2.1361607787446455e-06,-9.157207047123924e-06,-5.932124789606444e-06,-2.9854006913867734e-06,-3.3387123920161897e-06,1.567080336650293e-05,1.4725566046110466e-06,1.6745242675265828e-07,-6.31615892058819e-06,6.967415002070615e-06
JPM,5,0.03176795872925142,0.0003805694289118035,-3.487686516085623e-08,-3.7131914081299095e-06,1.6569414673215955e-05,-2.9545890796945562e-05,-1.22157767097855e-06,1.8712369161557199e-06,-1.0866565071017985e-06,-1.2449728137563372e-07,-6.167704304949325e-06,1.3911960012584964e-06
MSFT,5,0.039887551214562555,0.00017573019203738407,-9.328510957512376e-06,6.348075794658465e-06,5.729965062810961e-06,-1.2449685287074915e-05,8.50430931409034e-06,6.114024958806236e-06,3.811695391522667e-06,8.281934301937626e-06,-2.0104688361922346e-05,-1.8403877568842505e-05
NVDA,5,0.025993373341240633,-0.0011837579264273377,-1.5265388473837165e-05,4.820036807160694e-06,-4.65484601835587e-06,1.8088557725098688e-06,-2.1368999930076314e-05,-1.4894726316446872e-05,8.573726416052007e-07,-7.972444263019917e-06,1.574538741927112e-05,4.7633414558648985e-06
PEP,5,0.015372611174224171,2.4001727005558388e-05,1.5805861857664485e-07,2.927385909170511e-07,-3.474243811116774e-07,7.715231670846886e-09,1.9798148236798566e-08,1.1635738976001509e-07,1.5668541442208708e-07,-5.194887056637413e-08,-6.154984958540273e-08,5.472627402485049e-07
TSLA,5,0.029899838118028432,-0.00014612968011408023,1.0171792637415103e-05,-3.1512178740414096e-06,-2.886312901081524e-06,2.2755467610794874e-06,1.001700346767521e-06,7.860867457813803e-07,-2.979107157927528e-07,-1.5256350838712265e-07,1.1107212673151852e-06,4.362971576881039e-06
V,5,0.11189714703783527,-0.00022195623607262246,1.0083277696904379e-07,-1.4403360704895882e-06,7.368894780567529e-06,-1.5881195021271506e-06,-5.986061328577493e-07,-2.009341256958258e-06,2.92718020752979e-06,-9.919006780433434e-08,-1.4576731657422444e-05,-6.801124774929915e-07
XOM,5,0.12745069302415246,1.4181466348138605e-05,7.582272591237018e-09,-1.0385659383384763e-06,-7.707147406313075e-07,8.334127569170127e-07,-5.436493132650478e-07,2.3124815920121744e-07,1.3214157247979673e-06,9.943241531519378e-08,3.25437646678088e-06,-1.195877182473271e-06
