stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.007253671806090489,-0.0005836881451963641,-4.9009532534484005e-06,1.300742322759752e-07,3.331909490602879e-06,2.424639838686844e-06,6.634472910306544e-07,-1.3541676161649513e-06,-4.853862953341401e-07,-4.000713180187113e-07,-1.7826778525442504e-06,-5.403977285539889e-07
AMGN,1,0.03562257290511095,2.428499814403618e-08,3.12595565420176e-08,-1.1774414626601607e-06,2.802827297383443e-07,-1.0934449606196838e-06,1.2305605065137253e-07,-5.843881564392178e-07,8.085694461456578e-07,-7.136641646316139e-08,4.674123681507865e-07,-1.7898477206379087e-06
GILD,1,0.047765631608036596,-1.177333863155867e-05,6.468206871414388e-07,6.313803288334401e-07,-2.156034156275758e-06,3.769407177581221e-07,5.83305921917393e-08,1.0022249701784387e-07,9.07838246024822e-08,4.4743463891809734e-08,-4.7223148551438605e-08,5.060363419038376e-07
JPM,1,0.09142086636236302,0.0004813648755009825,-1.1157557971178316e-05,-9.972912816294046e-06,-1.035657880229064e-05,-6.116892932629908e-05,-2.437395450149554e-06,-2.258566675339187e-06,1.3343105096391422e-05,-2.726750582304986e-06,-2.0080379960807173e-05,3.687360647200302e-06
MSFT,1,0.05038879498041493,0.00047341167949895545,-1.797706552155548e-05,-2.329846834805242e-06,3.497323691111411e-06,-6.442929373643861e-07,3.8644880266981927e-07,-4.990142652443873e-08,-3.1779343509792247e-06,4.807210602280035e-07,2.339103156045636e-06,-2.5891349991184626e-06
NVDA,1,0.008469753052452678,-0.0019634143368306095,5.247677873041153e-06,5.439549385196833e-07,7.749496234793574e-06,5.59447270442543e-06,3.403116613938828e-07,2.140818967359906e-06,-2.2919595093223687e-06,1.216625481845254e-06,-3.6374353834086157e-06,6.003769765242052e-07
PEP,1,0.055395107697022716,0.0017807337541592598,-2.2705113399550473e-06,1.7177368031295015e-06,-1.0985294643618236e-06,9.655436259099929e-06,-3.9004713050810345e-06,-1.7404312314546223e-07,-8.480082865766778e-08,-1.556680012130428e-06,-3.210484115104976e-06,-5.791724503269107e-06
TSLA,1,0.01143314731768541,5.70888213973248e-05,2.9852388479564045e-07,-4.104360578773108e-06,5.031300789622305e-07,-3.555412798427961e-06,-4.711377985927093e-09,-1.4655259946580295e-06,3.3396568970447583e-06,2.929666000158361e-07,-3.7049271195485475e-06,2.16417272205884e-06
V,1,0.07520536914175335,0.00016089030799490927,-2.4647379162840765e-07,-2.682747115372966e-07,1.5636764281441687e-07,1.865271581738271e-07,-3.3061591986149275e-07,2.2271218003319705e-09,-8.024777896966107e-06,-5.101531549111428e-07,1.1422136248754919e-05,1.7630214226770968e-06
XOM,1,0.013367130439200459,3.1408232224640045e-05,1.5251768024280754e-06,-9.464992824963225e-07,-2.914142088811327e-07,-9.412842624652908e-07,-2.954942124653991e-07,2.467166826421184e-07,1.7516455329303974e-06,-1.275610853972504e-07,1.1319836368744013e-06,1.454417588684774e-06
