stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.010378271028858133,0.0017360744180036642,-5.273689592106061e-06,-1.0075975241888403e-06,1.337923913295062e-06,2.8217105816271667e-06,-5.8264602556306714e-08,6.89134568263064e-07,-6.993892696506054e-06,3.4854067273099963e-06,4.727305903501662e-07,-1.947147691338551e-06
AMGN,1,0.11977448736985341,0.0017785565433343152,7.301557868508236e-07,3.288445394276968e-05,-9.73057391393805e-06,-6.64876035550077e-06,-1.477174418364055e-06,-6.439097549359798e-06,8.286955354901943e-05,1.4474886441620408e-06,-5.148875162897047e-06,-1.0305807723482248e-05
GILD,1,0.02667604448846639,-2.4395541327138872e-05,-9.00668822020472e-07,-1.2994634222020221e-06,-1.1685894626290958e-07,-4.5737610892599325e-07,1.3949871545238256e-07,-1.800069273164834e-07,-5.868946584153946e-07,-7.471567968477163e-09,1.2045421711941393e-07,-4.984300296001912e-07
JPM,1,0.04143368125776481,-0.0001424512393269169,-5.825201680536923e-06,-5.785627245855003e-06,1.4491384607243362e-06,-9.068493709268025e-06,8.171017304620548e-07,3.6528075509984186e-06,-1.4094614444504558e-05,-1.0981480159977658e-06,4.984552445846294e-07,-9.483665868526582e-06
MSFT,1,0.003399453213469794,-0.000992414178653103,-4.99934881737567e-07,9.236469433457138e-07,5.353973456395104e-07,1.3187498280627445e-06,-8.422528785479411e-09,4.089527285145647e-06,4.099338137055958e-06,-1.2430391189180385e-07,1.2162480577117115e-07,-3.4917931678800783e-06
NVDA,1,0.012024961831082592,-0.00048533917750733294,4.019102594669546e-06,-8.594671009531465e-06,3.9228311484772225e-06,2.3938942335088332e-06,-3.5946113745200056e-06,-2.1203119161331242e-06,3.3860885473298115e-06,-2.9241273542978473e-06,9.99055801104343e-07,1.049347519180252e-05
PEP,1,0.017039655912498564,-4.521343746715061e-05,-1.7795151624402227e-06,-3.383362737271625e-06,-4.3267581435220095e-07,-1.226627508815052e-06,-1.336829931411799e-06,-1.5699335872258814e-06,6.065043769601264e-06,2.839609793488941e-07,-1.4252119979320193e-06,1.0027918660297514e-07
TSLA,1,0.03175749890996338,-0.0002394260312178787,2.5089332169110644e-05,-2.304852503073671e-06,-2.61711262858382e-06,-1.256435680875104e-06,-1.387577194752935e-06,2.727701195502979e-06,9.032640607056685e-06,4.4398640934354824e-07,-1.8030077628947724e-07,-3.432024569725687e-06
V,1,0.03323208860988558,1.6120038410196144e-05,-1.5865118633513538e-06,2.3194766150200543e-06,7.302174589655745e-07,4.524566620673504e-06,-9.309013127624063e-08,2.226979302735118e-06,1.606568257119568e-07,1.8316735043995753e-07,1.8938695638958127e-06,1.4528845956352963e-06
XOM,1,0.12353266441197308,3.7278749850603544e-05,-3.760844912975305e-07,1.2855370293303286e-06,2.356760253771626e-06,-4.755598897500841e-07,4.432329673063008e-07,1.8527765226214694e-08,1.5038680904583196e-06,4.591445104409574e-07,-6.576396512751262e-07,6.134617267880678e-06
AAPL,5,0.02173498548533226,-0.001967761332574128,-4.872950364880456e-06,4.036727230361816e-06,-4.353317607846835e-06,3.82794382840547e-07,1.6276831935559696e-06,-8.432727259056952e-06,-3.747774459109697e-05,2.1813560252317927e-06,-2.7860142296656065e-06,-1.2950552200613464e-07
AMGN,5,0.09040973353751114,4.166739566622326e-05,2.086732756917796e-06,3.9295814896746804e-05,-1.1493969662937965e-06,-2.091949319149755e-05,1.3183831567886667e-06,-2.7132965530950918e-06,8.842494003597391e-05,9.904471969291752e-07,-3.327912206778599e-06,-1.623140508721631e-05
GILD,5,0.02794086100478732,-5.526658134169766e-05,-3.795116392718888e-07,-1.2357416350778013e-06,6.057448768552764e-07,-2.431965864521197e-07,-3.5637875894386206e-09,-2.5611756099336327e-07,-4.316486131203749e-09,7.467767584636031e-08,6.219590291025848e-07,5.239263536926482e-08
JPM,5,0.02232363482112587,-0.000688142958224017,-3.5740025389787253e-07,-3.2509598597385916e-06,-2.791597345932007e-06,-7.838851174906605e-06,8.053576172413413e-07,2.4851302483352977e-06,-3.5986145311844347e-06,-1.3202731751938847e-06,3.3760210159338196e-06,-1.1604393177725903e-06
MSFT,5,0.02618534409218065,-0.0012935815002800357,-2.381852263969704e-05,-3.881286673616285e-06,-2.7971707314043607e-06,6.649014761150841e-06,-1.6200489631143346e-06,-1.156246245531957e-05,-2.8665986971622618e-05,8.909924320057786e-07,1.616996176078227e-06,-3.036718643202701e-06
NVDA,5,0.023942154678360583,0.0009556478362277173,-8.82274272307219e-06,2.7033345678900056e-06,5.853517201022112e-06,4.942136991716556e-06,-5.119418644125431e-06,-6.0598231258468296e-06,-4.052461286403482e-06,1.639947069725107e-06,6.909408881271509e-07,9.691051270412396e-06
PEP,5,0.023127948760157446,-0.00010935983754062508,1.9831020320540537e-06,2.7268203016960567e-06,-2.616793316623012e-06,6.389385672894199e-07,1.1960207616131703e-07,-7.407064742127922e-06,1.052349214971042e-05,8.482253587004823e-08,-7.4379227043559e-08,2.488369219254209e-06
TSLA,5,0.01605354059223707,0.0003869508481136498,1.978506274334444e-05,-2.107850376744475e-06,-2.3255426714104255e-06,-1.788345927230963e-06,-1.1571124554456182e-06,-3.163044860485139e-06,8.57160605797379e-06,-2.6773713627491787e-06,1.2419860827801744e-06,1.5317487899763072e-07
V,5,0.04327979958792305,-0.00025322253208884325,-2.503278142544044e-06,6.843909988336749e-07,2.163291168563472e-06,2.291158187656396e-06,-4.388831407920046e-07,1.7294233790859807e-06,-2.9974334420660087e-06,1.1831416834302154e-07,3.1316529465982088e-06,-1.1442252426373835e-06
XOM,5,0.05237335432679413,-0.0035756072073635267,3.5237879159319776e-06,1.0148940238754003e-06,-3.605690769048606e-06,-3.208997552460737e-07,-3.721526123604551e-07,-6.388909807065626e-06,-3.61413134229035e-05,7.850361227762452e-08,-1.448975287458929e-06,8.335102894856324e-06
